id_disciplina,id_docente,preferencia
EST0019_02,docente_16,3
EST0001_01,docente_07,3
EST0069_03,docente_21,3
EST0023_04,docente_27,3
EST0023_01,docente_04,3
EST0086_01,docente_12,3
EST0019_07,docente_24,3
EST0001_02,docente_15,3
EST0004_01,docente_14,3
EST0033_01,docente_23,3
EST0023_05,docente_04,3
EST0019_06,docente_13,3
EST0088_01,docente_02,2
EST0023_08,docente_15,3
EST0069_01,docente_15,3
EST0027_02,docente_06,3
EST0023_06,docente_27,3
EST0124_01,docente_08,2
EST0023_11,docente_17,3
EST0064_01,docente_23,3
EST0092_01,docente_18,3
EST0051_01,docente_26,3
EST0023_10,docente_26,3
EST0042_01,docente_19,3
EST0038_01,docente_28,3
EST0019_01,docente_06,3
EST0019_04,docente_22,3
EST0036_01,docente_01,3
EST0035_01,docente_11,3
EST0023_02,docente_09,3
EST0019_10,docente_10,3
EST0005_01,docente_07,3
EST0046_01,docente_25,1
EST0081_01,docente_20,3
EST0023_03,docente_05,3
EST0019_03,docente_17,3
EST0070_01,docente_08,3
EST0091_01,docente_08,2
EST0023_09,docente_05,3
EST0017_01,docente_09,3
EST0023_07,docente_21,3
EST0019_05,docente_16,3
EST0048_01,docente_21,3
EST0011_01,docente_12,3
EST0019_09,docente_02,3
EST0027_01,docente_10,3
EST0019_08,docente_07,3
